id,chapter_id,localization_id,localization_code,name,slug
67,67,2,en,The Book of Chapter 27,the-book-of-chapter-27
68,68,2,en,The Book of Chapter 28,the-book-of-chapter-28
69,69,2,en,The Book of Chapter 29,the-book-of-chapter-29
70,70,2,en,The Book of Chapter 30,the-book-of-chapter-30
71,71,2,en,The Book of Chapter 31,the-book-of-chapter-31
72,72,2,en,The Book of Chapter 32,the-book-of-chapter-32
73,73,2,en,The Book of Chapter 33,the-book-of-chapter-33
74,74,2,en,The Book of Chapter 34,the-book-of-chapter-34
75,75,2,en,The Book of Chapter 35,the-book-of-chapter-35
76,76,2,en,The Book of Chapter 36,the-book-of-chapter-36
77,77,2,en,The Book of Chapter 37,the-book-of-chapter-37
78,78,2,en,The Book of Chapter 38,the-book-of-chapter-38
79,79,2,en,The Book of Chapter 39,the-book-of-chapter-39
80,80,2,en,The Book of Chapter 40,the-book-of-chapter-40
81,81,2,en,The Book of Chapter 41,the-book-of-chapter-41
82,82,2,en,The Book of Chapter 42,the-book-of-chapter-42
83,83,2,en,The Book of Chapter 43,the-book-of-chapter-43
84,84,2,en,The Book of Chapter 1,the-book-of-chapter-1
85,85,2,en,The Book of Chapter 2,the-book-of-chapter-2
86,86,2,en,The Book of Chapter 3,the-book-of-chapter-3
87,87,2,en,The Book of Chapter 4,the-book-of-chapter-4
88,88,2,en,The Book of Chapter 5,the-book-of-chapter-5
89,89,2,en,The Book of Chapter 6,the-book-of-chapter-6
90,90,2,en,The Book of Chapter 7,the-book-of-chapter-7
91,91,2,en,The Book of Chapter 8,the-book-of-chapter-8
92,92,2,en,The Book of Chapter 9,the-book-of-chapter-9
93,93,2,en,The Book of Chapter 10,the-book-of-chapter-10
94,94,2,en,The Book of Chapter 11,the-book-of-chapter-11
95,95,2,en,The Book of Chapter 12,the-book-of-chapter-12
96,96,2,en,The Book of Chapter 13,the-book-of-chapter-13
97,97,2,en,The Book of Chapter 14,the-book-of-chapter-14
98,98,2,en,The Book of Chapter 15,the-book-of-chapter-15
99,99,2,en,The Book of Chapter 16,the-book-of-chapter-16
100,100,2,en,The Book of Chapter 17,the-book-of-chapter-17
101,101,2,en,The Book of Chapter 18,the-book-of-chapter-18
102,102,2,en,The Book of Chapter 19,the-book-of-chapter-19
103,103,2,en,The Book of Chapter 20,the-book-of-chapter-20
104,104,2,en,The Book of Chapter 21,the-book-of-chapter-21
105,105,2,en,The Book of Chapter 22,the-book-of-chapter-22
106,106,2,en,The Book of Chapter 23,the-book-of-chapter-23
107,107,2,en,The Book of Chapter 24,the-book-of-chapter-24
108,108,2,en,The Book of Chapter 25,the-book-of-chapter-25
109,109,2,en,The Book of Chapter 26,the-book-of-chapter-26
110,110,2,en,The Book of Chapter 27,the-book-of-chapter-27
111,111,2,en,The Book of Chapter 28,the-book-of-chapter-28
112,112,2,en,The Book of Chapter 29,the-book-of-chapter-29
113,113,2,en,The Book of Chapter 30,the-book-of-chapter-30
114,114,2,en,The Book of Chapter 31,the-book-of-chapter-31
115,115,2,en,The Book of Chapter 32,the-book-of-chapter-32
116,116,2,en,The Book of Chapter 33,the-book-of-chapter-33
117,117,2,en,The Book of Chapter 34,the-book-of-chapter-34
118,118,2,en,The Book of Chapter 35,the-book-of-chapter-35
119,119,2,en,The Book of Chapter 36,the-book-of-chapter-36
120,120,2,en,The Book of Chapter 37,the-book-of-chapter-37
121,121,2,en,The Book of Chapter 38,the-book-of-chapter-38
122,122,2,en,The Book of Chapter 39,the-book-of-chapter-39
123,123,2,en,The Book of Chapter 40,the-book-of-chapter-40
124,124,2,en,The Book of Chapter 41,the-book-of-chapter-41
125,125,2,en,The Book of Chapter 42,the-book-of-chapter-42
126,126,2,en,The Book of Chapter 43,the-book-of-chapter-43
127,127,2,en,The Book of Chapter 44,the-book-of-chapter-44
128,128,2,en,The Book of Chapter 45,the-book-of-chapter-45
129,129,2,en,The Book of Chapter 46,the-book-of-chapter-46
130,130,2,en,The Book of Chapter 47,the-book-of-chapter-47
131,131,2,en,The Book of Chapter 48,the-book-of-chapter-48
132,132,2,en,The Book of Chapter 49,the-book-of-chapter-49
133,133,2,en,The Book of Chapter 1,the-book-of-chapter-1
134,134,2,en,The Book of Chapter 2,the-book-of-chapter-2
135,135,2,en,The Book of Chapter 3,the-book-of-chapter-3
136,136,2,en,The Book of Chapter 4,the-book-of-chapter-4
137,137,2,en,The Book of Chapter 5,the-book-of-chapter-5
138,138,2,en,The Book of Chapter 6,the-book-of-chapter-6
139,139,2,en,The Book of Chapter 7,the-book-of-chapter-7
140,140,2,en,The Book of Chapter 8,the-book-of-chapter-8
141,141,2,en,The Book of Chapter 9,the-book-of-chapter-9
142,142,2,en,The Book of Chapter 10,the-book-of-chapter-10
143,143,2,en,The Book of Chapter 11,the-book-of-chapter-11
144,144,2,en,The Book of Chapter 12,the-book-of-chapter-12
145,145,2,en,The Book of Chapter 13,the-book-of-chapter-13
146,146,2,en,The Book of Chapter 14,the-book-of-chapter-14
147,147,2,en,The Book of Chapter 15,the-book-of-chapter-15
148,148,2,en,The Book of Chapter 16,the-book-of-chapter-16
149,149,2,en,The Book of Chapter 17,the-book-of-chapter-17
150,150,2,en,The Book of Chapter 18,the-book-of-chapter-18
151,151,2,en,The Book of Chapter 19,the-book-of-chapter-19
152,152,2,en,The Book of Chapter 20,the-book-of-chapter-20
153,153,2,en,The Book of Chapter 21,the-book-of-chapter-21
154,154,2,en,The Book of Chapter 22,the-book-of-chapter-22
155,155,2,en,The Book of Chapter 23,the-book-of-chapter-23
156,156,2,en,The Book of Chapter 24,the-book-of-chapter-24
157,157,2,en,The Book of Chapter 25,the-book-of-chapter-25
158,158,2,en,The Book of Chapter 26,the-book-of-chapter-26
159,159,2,en,The Book of Chapter 27,the-book-of-chapter-27
160,160,2,en,The Book of Chapter 28,the-book-of-chapter-28
161,161,2,en,The Book of Chapter 29,the-book-of-chapter-29
162,162,2,en,The Book of Chapter 30,the-book-of-chapter-30
163,163,2,en,The Book of Chapter 31,the-book-of-chapter-31
164,164,2,en,The Book of Chapter 32,the-book-of-chapter-32
165,165,2,en,The Book of Chapter 33,the-book-of-chapter-33
166,166,2,en,The Book of Chapter 34,the-book-of-chapter-34
167,167,2,en,The Book of Chapter 35,the-book-of-chapter-35
168,168,2,en,The Book of Chapter 36,the-book-of-chapter-36
169,169,2,en,The Book of Chapter 37,the-book-of-chapter-37
170,170,2,en,The Book of Chapter 1,the-book-of-chapter-1
171,171,2,en,The Book of Chapter 2,the-book-of-chapter-2
172,172,2,en,The Book of Chapter 3,the-book-of-chapter-3
173,173,2,en,The Book of Chapter 4,the-book-of-chapter-4
174,174,2,en,The Book of Chapter 5,the-book-of-chapter-5
175,175,2,en,The Book of Chapter 6,the-book-of-chapter-6
176,176,2,en,The Book of Chapter 7,the-book-of-chapter-7
177,177,2,en,The Book of Chapter 8,the-book-of-chapter-8
178,178,2,en,The Book of Chapter 9,the-book-of-chapter-9
179,179,2,en,The Book of Chapter 10,the-book-of-chapter-10
180,180,2,en,The Book of Chapter 11,the-book-of-chapter-11
181,181,2,en,The Book of Chapter 12,the-book-of-chapter-12
182,182,2,en,The Book of Chapter 13,the-book-of-chapter-13
183,183,2,en,The Book of Chapter 14,the-book-of-chapter-14
184,184,2,en,The Book of Chapter 15,the-book-of-chapter-15
185,185,2,en,The Book of Chapter 16,the-book-of-chapter-16
186,186,2,en,The Book of Chapter 17,the-book-of-chapter-17
187,187,2,en,The Book of Chapter 18,the-book-of-chapter-18
188,188,2,en,The Book of Chapter 19,the-book-of-chapter-19
189,189,2,en,The Book of Chapter 20,the-book-of-chapter-20
190,190,2,en,The Book of Chapter 21,the-book-of-chapter-21
191,191,2,en,The Book of Chapter 22,the-book-of-chapter-22
192,192,2,en,The Book of Chapter 23,the-book-of-chapter-23
193,193,2,en,The Book of Chapter 24,the-book-of-chapter-24
194,194,2,en,The Book of Chapter 25,the-book-of-chapter-25
195,195,2,en,The Book of Chapter 26,the-book-of-chapter-26
196,196,2,en,The Book of Chapter 27,the-book-of-chapter-27
197,197,2,en,The Book of Chapter 28,the-book-of-chapter-28
198,198,2,en,The Book of Chapter 29,the-book-of-chapter-29
199,199,2,en,The Book of Chapter 30,the-book-of-chapter-30
200,200,2,en,The Book of Chapter 31,the-book-of-chapter-31
201,201,2,en,The Book of Chapter 32,the-book-of-chapter-32
202,202,2,en,The Book of Chapter 33,the-book-of-chapter-33
203,203,2,en,The Book of Chapter 34,the-book-of-chapter-34
204,204,2,en,The Book of Chapter 35,the-book-of-chapter-35
205,205,2,en,The Book of Chapter 36,the-book-of-chapter-36
206,206,2,en,The Book of Chapter 37,the-book-of-chapter-37
207,207,2,en,The Book of Chapter 38,the-book-of-chapter-38
208,208,2,en,The Book of Chapter 39,the-book-of-chapter-39
209,209,2,en,The Book of Chapter 40,the-book-of-chapter-40
210,210,2,en,The Book of Chapter 41,the-book-of-chapter-41
211,211,2,en,The Book of Chapter 42,the-book-of-chapter-42
212,212,2,en,The Book of Chapter 43,the-book-of-chapter-43
213,213,2,en,The Book of Chapter 44,the-book-of-chapter-44
214,214,2,en,The Book of Chapter 45,the-book-of-chapter-45
215,215,2,en,The Book of Chapter 46,the-book-of-chapter-46
216,216,2,en,The Book of Chapter 47,the-book-of-chapter-47
217,217,2,en,The Book of Chapter 48,the-book-of-chapter-48
218,218,2,en,The Book of Chapter 49,the-book-of-chapter-49
219,219,2,en,The Book of Chapter 50,the-book-of-chapter-50
220,220,2,en,The Book of Chapter 51,the-book-of-chapter-51
221,221,2,en,The Book of Chapter 1,the-book-of-chapter-1
222,222,2,en,The Book of Chapter 2,the-book-of-chapter-2
223,223,2,en,The Book of Chapter 3,the-book-of-chapter-3
224,224,2,en,The Book of Chapter 4,the-book-of-chapter-4
225,225,2,en,The Book of Chapter 5,the-book-of-chapter-5
226,226,2,en,The Book of Chapter 6,the-book-of-chapter-6
227,227,2,en,The Book of Chapter 7,the-book-of-chapter-7
228,228,2,en,The Book of Chapter 8,the-book-of-chapter-8
229,229,2,en,The Book of Chapter 9,the-book-of-chapter-9
230,230,2,en,The Book of Chapter 10,the-book-of-chapter-10
231,231,2,en,The Book of Chapter 11,the-book-of-chapter-11
232,232,2,en,The Book of Chapter 12,the-book-of-chapter-12
233,233,2,en,The Book of Chapter 13,the-book-of-chapter-13
234,234,2,en,The Book of Chapter 14,the-book-of-chapter-14
235,235,2,en,The Book of Chapter 15,the-book-of-chapter-15
236,236,2,en,The Book of Chapter 16,the-book-of-chapter-16
237,237,2,en,The Book of Chapter 17,the-book-of-chapter-17
238,238,2,en,The Book of Chapter 18,the-book-of-chapter-18
239,239,2,en,The Book of Chapter 19,the-book-of-chapter-19
240,240,2,en,The Book of Chapter 20,the-book-of-chapter-20
