id,category_id,localization_code,name,slug
46,2,pt,O Hadith e sua ciência,the-hadith-and-hadith-sciences-en
47,2,ru,Хадис и хадисоведение,the-hadith-and-hadith-sciences-en
48,2,ta,"ஹதீஸ், ஹதீஸ் கலைகள்",the-hadith-and-hadith-sciences-en
49,2,tr,Hadis ve Hadis İlimleri,the-hadith-and-hadith-sciences-en
50,2,ur,حدیث و علومِ حدیث,the-hadith-and-hadith-sciences-en
51,2,zh,圣训及其知识,the-hadith-and-hadith-sciences-en
52,2,hi,हदीस तथा उससे संबंधित अन्य विषय,the-hadith-and-hadith-sciences-en
53,2,it,Il Hadith e le sue scienze,the-hadith-and-hadith-sciences-en
54,2,fa,حديث و علوم آن,the-hadith-and-hadith-sciences-en
55,2,am,ሐዲሥና ከሐዲሥ ጋር የተያያዙ እውቀቶች,the-hadith-and-hadith-sciences-en
56,2,az,Hədis və ona aid elimlər,the-hadith-and-hadith-sciences-en
57,2,bs,Hadis i hadiske nauke,the-hadith-and-hadith-sciences-en
58,2,cs,Hadíth(Výroky Proroka) a jeho vědy,the-hadith-and-hadith-sciences-en
59,2,ha,Hadisi da kuma Ilimansa,the-hadith-and-hadith-sciences-en
60,2,ku,فەرموودە وزانستەکانی,the-hadith-and-hadith-sciences-en
61,2,nl,De Hadith en zijn wetenschappen,the-hadith-and-hadith-sciences-en
62,2,ps,حدیث او علوم یې,the-hadith-and-hadith-sciences-en
63,2,ro,Hadisul și științele sale,the-hadith-and-hadith-sciences-en
64,2,si,අල්හදීස් සහ එහි ක්ෂේත්ර,the-hadith-and-hadith-sciences-en
65,2,so,Xadiiska iyo Culuuntiisa,the-hadith-and-hadith-sciences-en
66,2,sq,Shkencat e Hadithit,the-hadith-and-hadith-sciences-en
67,2,sv,Hadith och dess vetenskaper,the-hadith-and-hadith-sciences-en
68,2,sw,Hadithi na Elimu zake,the-hadith-and-hadith-sciences-en
69,2,tg,Ҳадис ва илмҳои он,the-hadith-and-hadith-sciences-en
70,2,th,หะดีษและสาขาวิชาที่เกี่ยวข้อง,the-hadith-and-hadith-sciences-en
71,2,ug,ھەدىس ۋە ئۇنىڭغا ئالاقىدار ئىلىملەر,the-hadith-and-hadith-sciences-en
72,2,uz,Ҳадис ва у билан боғлиқ илмлар,the-hadith-and-hadith-sciences-en
73,2,vi,Hadith và kiến thức,the-hadith-and-hadith-sciences-en
74,2,yo,Hadiisi ati awọn imọ rẹ,the-hadith-and-hadith-sciences-en
75,3,ar,العقيدة,the-creed-en
76,3,en,The Creed,the-creed-en
77,3,bn,আকীদা,the-creed-en
78,3,de,`Aqidah - die Glaubensgrundlagen,the-creed-en
79,3,es,La doctrina Islámica,the-creed-en
80,3,fr,Le dogme,the-creed-en
81,3,id,Akidah,the-creed-en
82,3,ml,വിശ്വാസം,the-creed-en
83,3,pt,A crença,the-creed-en
84,3,ru,Вероубеждение,the-creed-en
85,3,ta,இஸ்லாமியஅடிப்படைக் கொள்கை,the-creed-en
86,3,tr,Akide,the-creed-en
87,3,ur,عقیدہ,the-creed-en
88,3,zh,信仰,the-creed-en
89,3,hi,अक़ीदा,the-creed-en
90,3,it,Il credo,the-creed-en
91,3,fa,عقيده,the-creed-en
92,3,am,ዐቂዳ (እምነት),the-creed-en
93,3,az,Əqidə,the-creed-en
94,3,bs,Akida (nauka o vjerovanju),the-creed-en
95,3,cs,Přesvědčení,the-creed-en
96,3,ha,Aqida,the-creed-en
97,3,ku,عەقیدە (بیروباوەڕ),the-creed-en
98,3,nl,Geloofsleer,the-creed-en
99,3,ps,عقیده,the-creed-en
100,3,ro,Crezul,the-creed-en
101,3,si,ප්රතිපත්තිය,the-creed-en
102,3,so,Caqiidada,the-creed-en
103,3,sq,Akideja,the-creed-en
104,3,sv,Aqidah - Troslära,the-creed-en
105,3,sw,Akida- Itikadi-,the-creed-en
106,3,tg,Ақида,the-creed-en
107,3,th,อะกีดะฮฺ (หลักความเชื่อ),the-creed-en
108,3,ug,ئەقىدە ئىلمى,the-creed-en
109,3,uz,Ақида,the-creed-en
110,3,vi,Giáo lý đức tin,the-creed-en
111,3,yo,Adisọkan,the-creed-en
112,4,ar,الفقه وأصوله,jurisprudence-and-juristic-principles-en
113,4,en,Jurisprudence and Juristic Principles,jurisprudence-and-juristic-principles-en
114,4,bn,ফিকহ ও উসূলে ফিকহ,jurisprudence-and-juristic-principles-en
115,4,de,Fiqh - die islamische Rechtssprechung und Usul al-Fiqh - allgemeine Grundregeln des islamischen Rechts,jurisprudence-and-juristic-principles-en
116,4,es,La jurisprudencia islámica y sus fundamentos,jurisprudence-and-juristic-principles-en
117,4,fr,La jurisprudence et son fondement,jurisprudence-and-juristic-principles-en
118,4,id,Fikih dan Uṣūl Fikih,jurisprudence-and-juristic-principles-en
119,4,ml,"കർമ്മശാസ്ത്രവും, കർമ്മശാസ്ത്ര അടിസ്ഥാനങ്ങളും",jurisprudence-and-juristic-principles-en
120,4,pt,A Jurisprudência e seus princípios,jurisprudence-and-juristic-principles-en
121,4,ru,Фикх и его методология,jurisprudence-and-juristic-principles-en
122,4,ta,பிக்ஹும் அதன் அடிப்படைகளும்,jurisprudence-and-juristic-principles-en
123,4,tr,Fıkıh ve Fıkıh Usûlü,jurisprudence-and-juristic-principles-en
124,4,ur,فقہ و اصولِ فقہ,jurisprudence-and-juristic-principles-en
125,4,zh,教法及其基础,jurisprudence-and-juristic-principles-en
126,4,hi,फ़िक़्ह तथा उसूल-ए-फ़िक़्ह,jurisprudence-and-juristic-principles-en
127,4,it,La giurisprudenza e i suoi fondamenti,jurisprudence-and-juristic-principles-en
128,4,fa,فقه و اصول فقه,jurisprudence-and-juristic-principles-en
129,4,am,ፊቅህና የፊቂህ መርሆዎች,jurisprudence-and-juristic-principles-en
130,4,az,Fiqh və onun üsulu,jurisprudence-and-juristic-principles-en
131,4,bs,Islamsko pravo i njegova metodologija,jurisprudence-and-juristic-principles-en
132,4,cs,Právní věda a způsoby jejího vyvozování,jurisprudence-and-juristic-principles-en
133,4,ha,Fiqihu da Usulunsa,jurisprudence-and-juristic-principles-en
134,4,ku,فیقهی شەرعی وبنچینەکانی (الفقه وأصوله),jurisprudence-and-juristic-principles-en
135,4,nl,De jurisprudentie en zijn grondbeginsels,jurisprudence-and-juristic-principles-en
136,4,ps,فقه او اصول یې,jurisprudence-and-juristic-principles-en
137,4,ro,Jurisprudența și bazele acesteia,jurisprudence-and-juristic-principles-en
138,4,si,ආගමික නීති හා එහි මූලධර්ම,jurisprudence-and-juristic-principles-en
139,4,so,Fiqiga iyo usuushiisa,jurisprudence-and-juristic-principles-en
140,4,sq,Fikhu dhe usuli-fikh (bazat e fikhut),jurisprudence-and-juristic-principles-en
141,4,sv,Fiqh - Islamisk rättslära och dess principer,jurisprudence-and-juristic-principles-en
142,4,sw,Fiq'hi na misingi yake.,jurisprudence-and-juristic-principles-en
143,4,tg,Фиқҳ ва усули фиқҳ,jurisprudence-and-juristic-principles-en
144,4,th,ฟิกฮ์และหลักวิชาฟิกฮ์,jurisprudence-and-juristic-principles-en
145,4,ug,پىقھى ۋە ئۇنىڭ ئۇسۇل قائىدىلىرى,jurisprudence-and-juristic-principles-en
146,4,uz,Фиқҳ ва унинг усуллари,jurisprudence-and-juristic-principles-en
147,4,vi,Giáo luật thực hành và bằng chứng,jurisprudence-and-juristic-principles-en
148,4,yo,Fik'hu ati ìpìlẹ̀ rẹ,jurisprudence-and-juristic-principles-en
149,5,ar,الفضائل والآداب,virtues-and-manners-en
150,5,en,Virtues and Manners,virtues-and-manners-en
151,5,bn,ফযীলত ও শিষ্ঠাচার,virtues-and-manners-en
152,5,de,Guter Charakter und Benehmen,virtues-and-manners-en
153,5,es,Las virtudes y las modales,virtues-and-manners-en
154,5,fr,Les vertus et les convenances,virtues-and-manners-en
155,5,id,Keutamaan dan Adab,virtues-and-manners-en
156,5,ml,ശ്രേഷ്ഠതകളും സ്വഭാവമര്യാദകളും,virtues-and-manners-en
157,5,pt,As virtudes e etiquetas,virtues-and-manners-en
158,5,ru,Достоинства различных дел и этикет,virtues-and-manners-en
159,5,ta,சிறப்புக்களும் ஒழுக்கங்களும்,virtues-and-manners-en
160,5,tr,Faziletler ve Adaplar,virtues-and-manners-en
161,5,ur,فضائل و آداب,virtues-and-manners-en
162,5,zh,尊贵及礼节,virtues-and-manners-en
163,5,hi,फ़ज़ीलतें तथा आदाब,virtues-and-manners-en
164,5,it,Le virtù e le buone maniere,virtues-and-manners-en
165,5,fa,فضائل و آداب,virtues-and-manners-en
166,5,am,ትርፍ ተግባራትና ስነ-ስርዓት,virtues-and-manners-en
167,5,az,Fəzilətli əməllər və ədəb-ərkanlar,virtues-and-manners-en
168,5,bs,Odlike i pravila ponašanja,virtues-and-manners-en
169,5,cs,Přednosti a vychování,virtues-and-manners-en
170,5,ha,Falaloli da Ladabai,virtues-and-manners-en
171,5,ku,فەزڵەکان وئادابەکان,virtues-and-manners-en
172,5,nl,De deugden en etiquette,virtues-and-manners-en
173,5,ps,فضایل او آداب,virtues-and-manners-en
174,5,ro,Virtuți și maniere,virtues-and-manners-en
175,5,si,මහිමයන් සහ ආචාරධර්ම,virtues-and-manners-en
176,5,so,Fadaa`isha iyo Aadaabta,virtues-and-manners-en
177,5,sq,Vlera dhe rregullat,virtues-and-manners-en
178,5,sv,Dygder och uppföranden,virtues-and-manners-en
179,5,sw,Mambo mazuri na Adabu- Heshima.,virtues-and-manners-en
180,5,tg,Фазоил ва одоб,virtues-and-manners-en
181,5,th,คุณธรรมและมารยาท,virtues-and-manners-en
182,5,ug,پەزىلەت ۋە ئەدەپ-ئەخلاق,virtues-and-manners-en
183,5,uz,Фазилат ва одоблар,virtues-and-manners-en
184,5,vi,Ân phúc và lễ nghĩa,virtues-and-manners-en
185,5,yo,Àwọn ìwà dáadáa ati awọn ẹkọ,virtues-and-manners-en
186,6,ar,الدعوة والحسبة,da‘wah-and-hisbah-en
187,6,en,Da‘wah and Hisbah,da‘wah-and-hisbah-en
188,6,bn,দা‘ওয়াহ্ (আল্লাহর দিকে আহ্বান) ও হিসবাহ (সৎকাজের আদেশ-অসৎকাজের নিষেধ),da‘wah-and-hisbah-en
189,6,de,Da`wah - der Ruf zum Islam und das Gute gebieten und das Schlechte verbieten,da‘wah-and-hisbah-en
190,6,es,La predicación (da’wa) al Islam y al-hisba (predicar por ordenar el bien y condenar el mal).,da‘wah-and-hisbah-en
191,6,fr,La prédication et la police religieuse,da‘wah-and-hisbah-en
192,6,id,Dakwah dan Ḥisbah,da‘wah-and-hisbah-en
193,6,ml,പ്രബോധനവും പരസ്യശിക്ഷണവും,da‘wah-and-hisbah-en
194,6,pt,O chamamento e ordem do bem,da‘wah-and-hisbah-en
195,6,ru,Призыв к Аллаху и контроль за соблюдением шариатских норм,da‘wah-and-hisbah-en
196,6,ta,அழைப்புப் பணி,da‘wah-and-hisbah-en
197,6,tr,Davet ve Hisbe,da‘wah-and-hisbah-en
198,6,ur,دعوت و احتساب,da‘wah-and-hisbah-en
199,6,zh,诉讼和借贷,da‘wah-and-hisbah-en
200,6,hi,आह्वान एवं भलाई का आदेश देने तथा बुराई से रोकने का प्रबंध करना,da‘wah-and-hisbah-en
201,6,it,La predicazione e la vigilanza,da‘wah-and-hisbah-en
202,6,fa,دعوت و احتساب,da‘wah-and-hisbah-en
203,6,am,ጥሪና ሰበካ,da‘wah-and-hisbah-en
204,6,az,Dəvət və Allah üçün nəzarət,da‘wah-and-hisbah-en
205,6,bs,Islamsko misionarstvo i promicanje pozitivnih vrijednosti,da‘wah-and-hisbah-en
206,6,cs,Výzva k Islámu a nařizování vhodného a zakazování zavrženíhodného,da‘wah-and-hisbah-en
207,6,ha,Da’awa da Hisbah,da‘wah-and-hisbah-en
208,6,ku,بانگخوازی وچاودێری کردن (الحِسبة),da‘wah-and-hisbah-en
209,6,nl,De da'wa (uitnodiging tot islam) en de verantwoording,da‘wah-and-hisbah-en
210,6,ps,دعوت او حسبه ( امر په معروف او نهي له منکر څخه کله چې دا کار پريښودل شي),da‘wah-and-hisbah-en
211,6,ro,Chemarea la Alalh și la ceea ce este bun și oprirea de la ce este rău,da‘wah-and-hisbah-en
212,6,si,ඇරයුම සහ ස්වෙච්ඡා සේවය,da‘wah-and-hisbah-en
213,6,so,Dacwada iyo Xisbada,da‘wah-and-hisbah-en
214,6,sq,Daveti - thirrja në fe,da‘wah-and-hisbah-en
215,6,sv,"Da'wah - Att kalla till islam, påbjuda det goda och förbjuda det onda",da‘wah-and-hisbah-en
216,6,sw,Daa'awa na(kujitolea) kuamrisha mema nakukataza mabaya,da‘wah-and-hisbah-en
217,6,tg,Даъват ва ҳисба,da‘wah-and-hisbah-en
218,6,th,อัดดะอฺวะฮ์วัลอิห์ติซาบ(หลักการเรียกร้องเชิญชวน),da‘wah-and-hisbah-en
219,6,ug,دەۋەت ۋە ھىسبە(ئىجتىمائىي ئىشلارنى كۈزىتىش),da‘wah-and-hisbah-en
220,6,uz,"Даъват, амри маъруф ва наҳйи мункар",da‘wah-and-hisbah-en
221,6,vi,Tuyên truyền,da‘wah-and-hisbah-en
222,6,yo,Ipepe si oju ọna Ọlọhun ati pipaṣẹ dáadáa ati kikọ ìwà ibajẹ,da‘wah-and-hisbah-en
223,7,ar,السيرة والتاريخ,seerah-and-history-en
224,7,en,Seerah and History,seerah-and-history-en
225,7,bn,জীবনী ও ইতিহাস,seerah-and-history-en
226,7,de,Sira - die Biographie des Propheten und islamische Geschichte,seerah-and-history-en
227,7,es,Biografía y la historia.,seerah-and-history-en
228,7,fr,La biographie et l'histoire,seerah-and-history-en
229,7,id,Sejarah dan Tarikh,seerah-and-history-en
230,7,ml,നബിചരിത്രവും ചരിത്രവും,seerah-and-history-en
231,7,pt,A Biografia Profética e a história,seerah-and-history-en
232,7,ru,Жизнеописание Пророка ﷺ и история,seerah-and-history-en
233,7,ta,நபியவர்களின் வாழ்க்கையும் வரலாறும்,seerah-and-history-en
234,7,tr,Biyografi ve Tarih,seerah-and-history-en
235,7,ur,سیرت و تاریخ,seerah-and-history-en
236,7,zh,生平和历史,seerah-and-history-en
237,7,hi,सीरत एवं इतिहास,seerah-and-history-en
238,7,it,La biografia e la storia,seerah-and-history-en
239,7,fa,سيرت و تاريخ,seerah-and-history-en
240,7,am,ሲራና ታሪክ,seerah-and-history-en
241,7,az,Bioqrafiya və tarix,seerah-and-history-en
242,7,bs,Životopis i povijest,seerah-and-history-en
243,7,cs,Životopis Proroka a historie,seerah-and-history-en
244,7,ha,Sirah da Tarihi,seerah-and-history-en
245,7,ku,ژیاننامە (سیرەت) ومێژوو,seerah-and-history-en
246,7,nl,De biografie en geschiedenis,seerah-and-history-en
247,7,ps,سیرت او تاریخ,seerah-and-history-en
248,7,ro,Biografia și istoria,seerah-and-history-en
249,7,si,ජීවන මඟ සහ ඉතිහාසය,seerah-and-history-en
250,7,so,Siirada iyo Taariikhda,seerah-and-history-en
251,7,sq,Sira dhe historia,seerah-and-history-en
252,7,sv,Biografi och historia,seerah-and-history-en
253,7,sw,Historia na Taarekh.,seerah-and-history-en
254,7,tg,Сират ва таърих,seerah-and-history-en
255,7,th,ชีวประวัติและประวัติศาสตร์,seerah-and-history-en
256,7,ug,تارىخ ۋە تەرجىمىھال,seerah-and-history-en
257,7,uz,Сийрат ва тарих,seerah-and-history-en
258,7,vi,Tiểu sử và lịch sử,seerah-and-history-en
259,7,yo,Itan ìgbésí ayé,seerah-and-history-en
260,8,ar,نزول القرآن وجمعه,revelation-and-collection-of-the-qur'an-en
261,8,en,Revelation and Collection of the Qur'an,revelation-and-collection-of-the-qur'an-en
262,8,bn,কুরআন নাযিল হওয়া ও তা একত্রিতকরণ,revelation-and-collection-of-the-qur'an-en
263,8,de,Die Offenbarung des Korans und seine Zusammenstellung,revelation-and-collection-of-the-qur'an-en
264,8,es,La revelación del Corán y su colección.,revelation-and-collection-of-the-qur'an-en
265,8,fr,La révélation du Noble Coran et son rassemblement,revelation-and-collection-of-the-qur'an-en
266,8,id,Turunnya Al-Qur`ān dan Pengumpulannya,revelation-and-collection-of-the-qur'an-en
267,8,ml,ഖുർആനിൻ്റെ അവതരണവും ക്രോഡീകരണവും,revelation-and-collection-of-the-qur'an-en
268,8,pt,A revelação do Qur'an e a sua coleção,revelation-and-collection-of-the-qur'an-en
269,8,ru,Ниспослание Корана и его собрание,revelation-and-collection-of-the-qur'an-en
270,8,ta,அல்குர்ஆன் அருளப்படுதலும் ஒன்று திரட்டலும்,revelation-and-collection-of-the-qur'an-en
271,8,tr,Kur'an'ın İnişi ve Toplanması,revelation-and-collection-of-the-qur'an-en
272,8,ur,نزول قرآن اور اس کی تدوین,revelation-and-collection-of-the-qur'an-en
273,8,zh,《古兰经》的降示和汇总,revelation-and-collection-of-the-qur'an-en
274,8,hi,क़ुरआन का अवतरण तथा संकलन,revelation-and-collection-of-the-qur'an-en
275,8,it,La discesa del Corano e la sua raccolta,revelation-and-collection-of-the-qur'an-en
276,8,fa,نازل شدن قرآن و جمع آورى آن,revelation-and-collection-of-the-qur'an-en
277,8,am,የቁርአን አወራረድና አሰባሰቡ,revelation-and-collection-of-the-qur'an-en
278,8,az,Quranın nazil edilməsi və cəm olunması,revelation-and-collection-of-the-qur'an-en
279,8,bs,Objavljivanje Kur'ana i njegovo sakupljanje,revelation-and-collection-of-the-qur'an-en
280,8,cs,Seslání Koránu a jeho shromáždění v jednu knihu,revelation-and-collection-of-the-qur'an-en
281,8,ha,Saukar Al-qur’ani da kuma Tarashi,revelation-and-collection-of-the-qur'an-en
282,8,ku,دابەزین وکۆکردنەوەی قورئان,revelation-and-collection-of-the-qur'an-en
283,8,nl,De openbaring en compilatie van de Koran,revelation-and-collection-of-the-qur'an-en
284,8,ps,د قرآن کریم نزول او راټولول,revelation-and-collection-of-the-qur'an-en
285,8,ro,Revelarea Coranului și culegerea lui,revelation-and-collection-of-the-qur'an-en
286,8,si,අල්කුර්ආන් පහළ වීම සහ එය ගොනු කිරීම,revelation-and-collection-of-the-qur'an-en
287,8,so,Quraanka soo dagidiisii iyo aruurintiisii,revelation-and-collection-of-the-qur'an-en
288,8,sq,Zbritja dhe tubimi i Kuranit,revelation-and-collection-of-the-qur'an-en
289,8,sv,Koranens uppenbarelse och dess samling,revelation-and-collection-of-the-qur'an-en
290,8,sw,Kuteremka Qur'an na kukusanywa kwake.,revelation-and-collection-of-the-qur'an-en
291,8,tg,Нузули Қуръон ва ҷамъоварии он,revelation-and-collection-of-the-qur'an-en
292,8,th,การประทานอัลกุรอานและการรวบรวม,revelation-and-collection-of-the-qur'an-en
293,8,ug,قۇرئان كىرىمنىڭ نازىل بولىشى ۋە توپلىنىشى,revelation-and-collection-of-the-qur'an-en
294,8,uz,Қуръон нозил бўлиши хамда жамланиши,revelation-and-collection-of-the-qur'an-en
295,8,vi,"Kinh Qur'an, sự mặc khải và tập kết",revelation-and-collection-of-the-qur'an-en
296,8,yo,Sisọkalẹ Kuraani ati kiko o jọ,revelation-and-collection-of-the-qur'an-en
297,9,ar,القراءات والتجويد,modes-of-qur'anic-recitation-and-tajweed-en
298,9,en,Modes of Qur'anic Recitation and Tajweed,modes-of-qur'anic-recitation-and-tajweed-en
299,9,bn,কিরাআত ও তাজভীদ,modes-of-qur'anic-recitation-and-tajweed-en
300,9,de,Qiraat - Lesarten des Koran und Tajuwid - die Rezitationsregeln,modes-of-qur'anic-recitation-and-tajweed-en
301,9,es,Recitaciones y la pronunciación armoniosa,modes-of-qur'anic-recitation-and-tajweed-en
302,9,fr,Les lectures et la récitation distincte,modes-of-qur'anic-recitation-and-tajweed-en
303,9,id,Qiraat dan Tajwid,modes-of-qur'anic-recitation-and-tajweed-en
304,9,ml,പാരായണരീതികളും ഉച്ചാരണ നിയമങ്ങളും,modes-of-qur'anic-recitation-and-tajweed-en
305,9,pt,Qiraát e Tajwid,modes-of-qur'anic-recitation-and-tajweed-en
306,9,ru,Виды чтения Корана (кирааты) и таджвид,modes-of-qur'anic-recitation-and-tajweed-en
307,9,ta,ஓதல் முறைகளும் தஜ்வீதும்,modes-of-qur'anic-recitation-and-tajweed-en
308,9,tr,Kıraatler ve Tecvid,modes-of-qur'anic-recitation-and-tajweed-en
309,9,ur,قراءات و تجوید,modes-of-qur'anic-recitation-and-tajweed-en
310,9,zh,阅读和诵读,modes-of-qur'anic-recitation-and-tajweed-en
311,9,hi,विभिन्न क़िराअतें एवं तजवीद,modes-of-qur'anic-recitation-and-tajweed-en
312,9,it,Le letture coraniche e le regole di recitazione (taǧwīd),modes-of-qur'anic-recitation-and-tajweed-en
313,9,fa,قراءات و تجويد,modes-of-qur'anic-recitation-and-tajweed-en
314,9,am,አቀራርና ተጅዊድ,modes-of-qur'anic-recitation-and-tajweed-en
315,9,az,Quran qiraətləri və təcvid,modes-of-qur'anic-recitation-and-tajweed-en
316,9,bs,Kiraeti i tedžvid,modes-of-qur'anic-recitation-and-tajweed-en
317,9,cs,Různá čtení Koránu a jeho správná recitace(Tadžwíd),modes-of-qur'anic-recitation-and-tajweed-en
318,9,ha,Qira’at da Tajwidi,modes-of-qur'anic-recitation-and-tajweed-en
319,9,ku,خوێندنەوەکان وتەجوید,modes-of-qur'anic-recitation-and-tajweed-en
320,9,nl,De recitaties en tajweed (correcte uitspraak),modes-of-qur'anic-recitation-and-tajweed-en
321,9,ps,قرآءتونه او تجوید,modes-of-qur'anic-recitation-and-tajweed-en
322,9,ro,Modalitați de recitare (Qiraat) și Tajwid,modes-of-qur'anic-recitation-and-tajweed-en
323,9,si,අල්කුර්ආන් පාරයන ක්රම සහ එය පාරායනය කිරීමේ නිවැරදි පිළිවෙත,modes-of-qur'anic-recitation-and-tajweed-en
324,9,so,Qiraa`aatka iyo Tajwiidka,modes-of-qur'anic-recitation-and-tajweed-en
325,9,sq,Kiraetet dhe texhvidi,modes-of-qur'anic-recitation-and-tajweed-en
326,9,sv,Koranens läsesätt och korrekta uttal,modes-of-qur'anic-recitation-and-tajweed-en
327,9,sw,Visomo na Tajwiid.,modes-of-qur'anic-recitation-and-tajweed-en
328,9,tg,Қироатҳо ва таҷвид,modes-of-qur'anic-recitation-and-tajweed-en
329,9,th,หลักการอ่านและตัจวีด,modes-of-qur'anic-recitation-and-tajweed-en
330,9,ug,قىرائەت ۋە تەجۋىد ئىلمى,modes-of-qur'anic-recitation-and-tajweed-en
331,9,uz,Қироатлар ва тажвид илми,modes-of-qur'anic-recitation-and-tajweed-en
332,9,vi,Các cách xướng đọc Qur'an và ngữ điệu,modes-of-qur'anic-recitation-and-tajweed-en
333,9,yo,Àwọn ọ̀nà kíké Kuraani ati kika a dáadáa,modes-of-qur'anic-recitation-and-tajweed-en
334,10,ar,تفسير القرآن,qur'anic-exegesis-en
335,10,en,Qur'anic Exegesis,qur'anic-exegesis-en
336,10,bn,কুরআনের তাফসীর,qur'anic-exegesis-en
337,10,de,Tafsir- die Auslegung des Koran,qur'anic-exegesis-en
338,10,es,La exégesis del Corán.,qur'anic-exegesis-en
339,10,fr,L'exégèse du Coran,qur'anic-exegesis-en
